Wall time,Step,Value
1646123933.903321,10000,-36.20000076293945
1646124009.5788157,20000,-25.32033920288086
1646124084.9608593,30000,-37.38125228881836
1646124163.0200965,40000,-5.662105560302734
1646124238.1955662,50000,-7.0397443771362305
1646124312.5082421,60000,1.9761903285980225
1646124386.7202754,70000,3.947248935699463
1646124459.6019626,80000,4.198827743530273
1646124534.4988952,90000,4.1981964111328125
1646124613.9144492,100000,4.1971116065979
1646124688.2712893,110000,4.196021556854248
1646124762.1093276,120000,4.199549674987793
1646124836.26185,130000,4.198286533355713
1646124910.8090756,140000,4.199189186096191
1646124986.5675857,150000,4.197018623352051
1646125061.984018,160000,4.187591075897217
1646125138.0944018,170000,4.198286533355713
1646125218.6117766,180000,4.199729919433594
1646125294.587886,190000,4.199368953704834
1646125370.1838822,200000,4.197021484375
1646125445.587803,210000,4.199099063873291
1646125522.640603,220000,4.1979241371154785
1646125599.5113962,230000,4.199549674987793
1646125675.5228305,240000,4.199729919433594
1646125750.8961425,250000,4.197745323181152
1646125827.2196708,260000,4.199819564819336
1646125904.3039029,270000,4.199549198150635
1646125980.8273318,280000,4.199999809265137
1646126057.4240046,290000,4.199909687042236
1646126132.542235,300000,4.19927978515625
1646126207.0363946,310000,4.198107719421387
1646126283.3909957,320000,4.199008941650391
1646126360.7860382,330000,4.198737621307373
1646126435.7543144,340000,4.199549674987793
1646126505.878762,350000,4.199279308319092
1646126577.384608,360000,4.198376655578613
1646126647.5411718,370000,4.198466777801514
1646126718.2895074,380000,4.198378086090088
1646126788.3248613,390000,4.199999809265137
1646126857.988772,400000,4.199189186096191
1646126928.4737988,410000,4.199639320373535
1646126998.1288743,420000,4.199999809265137
1646127068.1941628,430000,4.192005157470703
1646127138.4418974,440000,4.161141395568848
1646127208.082347,450000,4.190740585327148
1646127278.8811512,460000,4.167273998260498
1646127349.8732178,470000,4.19064998626709
1646127419.883631,480000,4.199008941650391
1646127490.6895833,490000,4.199549198150635
1646127560.4954023,500000,4.199909687042236
1646127630.231168,510000,4.1969313621521
1646127698.574945,520000,4.1979241371154785
1646127768.1655476,530000,4.199639797210693
1646127837.7206666,540000,4.199368953704834
1646127905.733206,550000,4.199729919433594
1646127973.613901,560000,4.199729919433594
1646128041.8612876,570000,4.199999809265137
1646128109.546003,580000,4.199639797210693
1646128179.0994377,590000,3.423874616622925
1646128248.3580315,600000,4.199999809265137
1646128316.5478976,610000,3.423874616622925
1646128384.4455104,620000,4.1898369789123535
1646128452.0359263,630000,3.4218411445617676
1646128519.5891862,640000,4.199999809265137
1646128587.134457,650000,3.2615106105804443
1646128654.9658477,660000,4.117351531982422
1646128722.9148636,670000,4.199999809265137
1646128790.7145543,680000,4.199639797210693
1646128858.4996388,690000,4.1957502365112305
1646128925.6646812,700000,4.199279308319092
1646128993.5340407,710000,4.199279308319092
1646129061.2143984,720000,4.199279308319092
1646129128.4788952,730000,4.199999809265137
1646129195.9165132,740000,4.199999809265137
1646129263.520907,750000,4.199999809265137
1646129330.7374697,760000,4.199999809265137
1646129398.3863947,770000,4.199999809265137
1646129465.6539967,780000,4.199999809265137
1646129533.3498886,790000,4.199999809265137
1646129601.2921014,800000,4.199999809265137
1646129669.675111,810000,4.199999809265137
1646129738.6410923,820000,4.199999809265137
1646129807.4654756,830000,4.199999809265137
1646129877.9685636,840000,4.199999809265137
1646129947.105892,850000,4.199909687042236
1646130016.3273516,860000,4.199999809265137
1646130085.7835207,870000,4.199999809265137
1646130154.431195,880000,4.199819564819336
1646130222.2175848,890000,4.199999809265137
1646130289.4283743,900000,4.199999809265137
1646130357.300403,910000,4.199999809265137
1646130425.0629997,920000,4.199999809265137
1646130493.204725,930000,4.199999809265137
1646130561.045231,940000,4.199999809265137
1646130628.6187146,950000,4.199999809265137
1646130697.2900343,960000,4.199999809265137
1646130766.2363064,970000,4.199819564819336
1646130833.9073892,980000,4.199999809265137
1646130901.3976936,990000,4.199999809265137
1646130968.6447797,1000000,4.199999809265137
